acc_train=0.014340733375382544,acc_loss=2.0763840675354004,val_acc=0.01372092719424093,val_loss=2.0736469700932503
acc_train=0.013143314149587207,acc_loss=2.0854291915893555,val_acc=0.013830069585797335,val_loss=2.0714440792798996
acc_train=0.013905557136165212,acc_loss=2.0752499103546143,val_acc=0.013734995838005087,val_loss=2.070532463490963
acc_train=0.008697023379217258,acc_loss=2.092341899871826,val_acc=0.013931228148375567,val_loss=2.0688871815800667
acc_train=0.0163426131889661,acc_loss=2.069713830947876,val_acc=0.013726764257709367,val_loss=2.068543091416359
acc_train=0.014443660221558487,acc_loss=2.0635032653808594,val_acc=0.013959225436777403,val_loss=2.0657131895422935
acc_train=0.010141747166367223,acc_loss=2.076138734817505,val_acc=0.0138927237655455,val_loss=2.065249264240265
acc_train=0.010755383874550026,acc_loss=2.0713603496551514,val_acc=0.013738167017839482,val_loss=2.0640276595950127
acc_train=0.014366953380715928,acc_loss=2.067636728286743,val_acc=0.013700309552443383,val_loss=2.0626450777053833
acc_train=0.012233036367631407,acc_loss=2.066035032272339,val_acc=0.013946296480359234,val_loss=2.060538999736309
acc_train=0.013191538329434664,acc_loss=2.064927816390991,val_acc=0.013814897754725415,val_loss=2.0597982853651047
acc_train=0.010386036993638272,acc_loss=2.057965040206909,val_acc=0.013732733697257863,val_loss=2.0590229108929634
acc_train=0.0075711351028337,acc_loss=2.0675323009490967,val_acc=0.013740461493813534,val_loss=2.0575307086110115
acc_train=0.01807350882663823,acc_loss=2.042780637741089,val_acc=0.013788324188784406,val_loss=2.05554511398077
acc_train=0.014352418168548006,acc_loss=2.0533933639526367,val_acc=0.013890241917869696,val_loss=2.0535973608493805
acc_train=0.01285435233389376,acc_loss=2.0429725646972656,val_acc=0.014025830250784943,val_loss=2.0518809780478477
acc_train=0.01044175296055323,acc_loss=2.0708272457122803,val_acc=0.013650251032832033,val_loss=2.052431933581829
acc_train=0.01253593585269722,acc_loss=2.0744078159332275,val_acc=0.013912098448396571,val_loss=2.0493910014629364
acc_train=0.017203360759969387,acc_loss=2.0414750576019287,val_acc=0.013955989109918483,val_loss=2.04802855104208
acc_train=0.008590573102392507,acc_loss=2.0784225463867188,val_acc=0.013808921519307255,val_loss=2.0483394861221313
acc_train=0.01257823688201856,acc_loss=2.0568156242370605,val_acc=0.01380419562749946,val_loss=2.0468951985239983
acc_train=0.010128708519740614,acc_loss=2.063366651535034,val_acc=0.01375413935243023,val_loss=2.045732021331787
acc_train=0.009848423720950806,acc_loss=2.0712594985961914,val_acc=0.013810408198179287,val_loss=2.0443179830908775
acc_train=0.016524213545262775,acc_loss=2.0392630100250244,val_acc=0.013777199118366296,val_loss=2.042189322412014
acc_train=0.010695275358734671,acc_loss=2.057523488998413,val_acc=0.014142631530623426,val_loss=2.0405788123607635
acc_train=0.010372431566101384,acc_loss=2.0680322647094727,val_acc=0.013950500472353293,val_loss=2.0399769470095634
acc_train=0.00964227696272733,acc_loss=2.0456769466400146,val_acc=0.013626107015124438,val_loss=2.0398125424981117
acc_train=0.012527674121190258,acc_loss=2.0391597747802734,val_acc=0.013813234799121294,val_loss=2.037215270102024
acc_train=0.011165737103572526,acc_loss=2.0626723766326904,val_acc=0.013806716464410902,val_loss=2.0372848585247993
acc_train=0.012416703043678286,acc_loss=2.042299747467041,val_acc=0.013787083249359993,val_loss=2.035511039197445
acc_train=0.013283622226578314,acc_loss=2.036611318588257,val_acc=0.013996242220609911,val_loss=2.0333545990288258
